DEPO_CODE|SKU|NOP|SYS_DATE|SYSTEM|SYS_DATE1|Y
002|F000630984018000|12|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000630985003001|1|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000630986000500|575|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000630986001000|330|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000630986004000|84|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000650991000900|6|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000650991003600|80|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000650991009000|2|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000670991000900|114|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000670991003600|25|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000680991009000|2|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000720000001000|4|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000720000004000|5|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000720403000500|8|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000720403004000|6|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000730991001000|42|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000730991004000|9|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000730991010000|48|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000730991020000|3|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000740991000200|439|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000740991000500|3406|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000740991001000|229|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000740991004000|26|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000740SR6000500|84|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000760991001000|6|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000760991004000|4|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000770991001000|153|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000770991020000|14|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000790991004000|2|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000830991000900|118|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000830991009000|1|31/03/2021|SYSTEM|31/03/2021|Y|
